RESOLUCAO,BITRATE,QP,FPS,PSNR,SSIM,LPIPS,VMAF
34560000,14277.4,30,30,34.862976,0.3960939,,
34560000,11495.6,32,30,34.45391,0.38219655,,
34560000,47180.8,14,30,45.832863,0.21110117,,
34560000,10052.2,23,30,39.98177,0.1575746,,
34560000,6437.6,27,30,39.450455,0.14202772,,
34560000,11632.6,22,30,44.275494,0.1737615,,
34560000,7041.4,26,30,43.068756,0.15676476,,
34560000,4420.2,30,30,39.233353,0.13441281,,
34560000,25601.8,22,30,44.036633,0.18747601,,
34560000,14016.2,27,30,35.537663,0.14935313,,
34560000,9879.0,30,30,41.544994,0.1541608,,
34560000,89899.2,14,30,45.83415,0.24254084,,
34560000,25095.4,23,30,43.769604,0.20284414,,
34560000,10966.2,30,30,33.74769,0.14840741,,
34560000,19142.2,26,30,42.39206,0.18610334,,
34560000,11998.0,30,30,41.16082,0.17554452,,
34560000,8815.6,33,30,32.68464,0.123934634,,
34560000,15523.0,23,30,43.793335,0.18070962,,
34560000,10733.6,26,30,42.734947,0.16787238,,
34560000,6422.6,30,30,41.461086,0.15461776,,
34560000,21064.0,24,30,43.579388,0.18391836,,
34560000,14925.8,27,30,42.38427,0.16487326,,
34560000,9624.4,31,30,40.992638,0.13421637,,
34560000,23460.0,22,30,44.54271,0.18738714,,
34560000,16518.4,25,30,43.69929,0.1751379,,
34560000,11619.8,28,30,42.303894,0.15357529,,
34560000,63498.6,23,30,42.529064,0.22754781,,
34560000,35160.0,28,30,40.755592,0.19499826,,
34560000,24446.8,31,30,39.62453,0.18115807,,
34560000,25291.6,24,30,42.34438,0.20353816,,
34560000,15666.2,28,30,40.84923,0.17781398,,
34560000,12128.2,30,30,40.2272,0.17254137,,
34560000,94942.4,19,30,43.251965,0.27190858,,
34560000,38853.8,26,30,40.928864,0.23188591,,
34560000,21501.8,31,30,38.80091,0.21073854,,
34560000,49036.8,23,30,42.733078,0.21668229,,
34560000,23611.0,29,30,40.599457,0.18291815,,
34560000,14395.2,33,30,38.61824,0.15706027,,
34560000,36841.8,26,30,31.056143,0.13747849,,
34560000,22978.6,30,30,30.99391,0.1277613,,
34560000,14443.0,34,30,30.843998,0.10924647,,
34560000,67128.6,20,30,43.620705,0.2113658,,
34560000,20348.6,30,30,40.546936,0.16150114,,
34560000,14167.2,33,30,38.97033,0.1426139,,
34560000,85691.2,28,30,32.556225,0.7205372,,
34560000,54861.4,31,30,31.046953,0.66837734,,
34560000,40872.8,33,30,29.93998,0.6265499,,
34560000,42453.0,27,30,37.51966,0.48649496,,
34560000,20598.2,32,30,34.825783,0.41112453,,
34560000,12127.6,36,30,29.240873,0.30954123,,
34560000,240084.0,25,30,35.865845,0.70022774,,
34560000,81074.2,32,30,31.815475,0.5813119,,
34560000,39687.6,37,30,29.369284,0.48910385,,
34560000,197482.2,26,30,35.38958,0.6853487,,
34560000,102360.0,31,30,32.795773,0.6019852,,
34560000,61881.8,35,30,30.855,0.53049475,,
34560000,218323.6,25,30,36.29752,0.66081136,,
34560000,94309.4,31,30,32.938946,0.55757195,,
34560000,53891.4,35,30,30.934832,0.4847869,,
34560000,197566.2,28,30,34.965748,0.6355572,,
34560000,104393.4,33,30,32.275486,0.5642101,,
34560000,81171.0,35,30,31.340925,0.53524137,,
34560000,141546.6,26,30,35.771835,0.60996276,,
